Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
European Equities;;;;;;;;;;;;;;
01-juin-23;;;;;;;;;;;;;;
All datapoints provided as of end of last active trading day.;;;;;;;;;;;;;;
AALBERTS NV;NL0000852564;AALB;Euronext Amsterdam;EUR;39,66;39,99;39,28;39,5;31/05/2023 17:35;CET;422964;17153175,82;39,5;31/05/2023
AB INBEV;BE0974293251;ABI;Euronext Brussels;EUR;50,35;50,6;49,465;49,91;31/05/2023 17:37;CET;4991863;250107905,2;49,91;31/05/2023
AB SCIENCE;FR0010557264;AB;Euronext Paris;EUR;4,15;4,155;4,06;4,145;31/05/2023 17:35;CET;93657;386301,68;4,145;31/05/2023
ABC ARBITRAGE;FR0004040608;ABCA;Euronext Paris;EUR;6,06;6,17;6,02;6,17;31/05/2023 17:39;CET;62254;381793,26;6,17;31/05/2023
ABEO;FR0013185857;ABEO;Euronext Paris;EUR;17,7;17,7;17,7;17,7;31/05/2023 16:51;CET;81;1433,7;17,7;31/05/2023
ABIONYX PHARMA;FR0012616852;ABNX;Euronext Paris;EUR;1,326;1,38;1,254;1,264;31/05/2023 17:35;CET;193228;253337,21;1,264;31/05/2023
ABIVAX;FR0012333284;ABVX;Euronext Paris;EUR;17,16;18,16;17;18,16;31/05/2023 17:35;CET;474532;8597866,64;18,16;31/05/2023
ABL Diagnostics;FR001400AHX6;ABLD;Euronext Paris;EUR;5,8;5,8;5,8;5,8;26/04/2023 16:30;CET;2;11,6;5,8;31/05/2023
ABN AMRO BANK N.V.;NL0011540547;ABN;Euronext Amsterdam;EUR;13,96;14,015;13,5;13,605;31/05/2023 17:36;CET;4131953;56861865,68;13,605;31/05/2023
ABO GROUP;BE0974278104;ABO;Euronext Brussels, Paris;EUR;5,85;5,85;5,7;5,7;31/05/2023 12:31;CET;570;3260,5;5,7;31/05/2023
ACANTHE DEV.;FR0000064602;ACAN;Euronext Paris;EUR;0,36;0,366;0,35;0,35;31/05/2023 17:05;CET;15124;5372,13;0,35;31/05/2023
ACCENTIS;BE0003696102;ACCB;Euronext Brussels;EUR;0,0298;0,0306;0,0298;0,0306;31/05/2023 13:35;CET;25900;791,82;0,0306;31/05/2023
ACCOR;FR0000120404;AC;Euronext Paris;EUR;31,16;31,46;30,97;30,97;31/05/2023 17:37;CET;1820055;56430018,74;30,97;31/05/2023
ACCOR AC SHARES;FR0014003PZ3;AAC;Euronext Paris;EUR;9,95;9,95;9,95;9,95;22/05/2023 12:02;CET;1;9,95;9,95;31/05/2023
ACCOR AC WARRANTS;FR0014003QK3;AACW;Euronext Paris;EUR;0,0005;0,0005;0,0005;0,0005;28/04/2023 09:00;CET;908;0,45;0,0005;31/05/2023
ACCSYS;GB00BQQFX454;AXS;Euronext Amsterdam;EUR;0,825;0,841;0,82;0,83;31/05/2023 17:35;CET;719235;595461,59;0,83;31/05/2023
ACKERMANS V.HAAREN;BE0003764785;ACKB;Euronext Brussels;EUR;154,8;155,3;153,3;153,3;31/05/2023 17:35;CET;48883;7770173,8;153,3;31/05/2023
ACOMO;NL0000313286;ACOMO;Euronext Amsterdam;EUR;22,3;22,3;21,9;22;31/05/2023 17:35;CET;9126;200858,9;22;31/05/2023
ACTEOS;FR0000076861;EOS;Euronext Paris;EUR;1,6;1,6;1,42;1,515;31/05/2023 17:35;CET;41225;60193,63;1,515;31/05/2023
ADC SIIC;BE0974269012;ALDV;Euronext Paris;EUR;0,065;0,065;0,065;0,065;29/05/2023 16:30;CET;3000;195;0,065;31/05/2023
ADOCIA;FR0011184241;ADOC;Euronext Paris;EUR;4;4,05;3,87;3,96;31/05/2023 17:35;CET;61259;243566,12;3,96;31/05/2023
ADP;FR0010340141;ADP;Euronext Paris;EUR;141,4;144,8;140;142,1;31/05/2023 17:39;CET;509615;72449487,8;142,1;31/05/2023
ADUX;FR0012821890;ADUX;Euronext Paris, Amsterdam;EUR;1,43;1,44;1,4;1,435;31/05/2023 17:35;CET;765;1099,23;1,435;31/05/2023
ADYEN;NL0012969182;ADYEN;Euronext Amsterdam;EUR;1500,2;1559,6;1492,4;1526,8;31/05/2023 17:35;CET;177479;271144971,2;1526,8;31/05/2023
AEDIFICA;BE0003851681;AED;Euronext Brussels, Amsterdam;EUR;63,3;64;62,35;62,75;31/05/2023 17:37;CET;102781;6544296,9;62,75;31/05/2023
AEGON;NL0000303709;AGN;Euronext Amsterdam;EUR;4,23;4,245;4,103;4,115;31/05/2023 17:35;CET;22618447;93567346,03;4,115;31/05/2023
AELIS FARMA;FR0014007ZB4;AELIS;Euronext Paris;EUR;14;14;13,95;14;31/05/2023 17:26;CET;22;307;14;31/05/2023
AERKOMM INC;US00774B2088;AKOM;Euronext Paris;EUR;2,94;2,94;2,94;2,94;15/05/2023 11:46;CET;140;411,6;2,94;31/05/2023
AFFLUENT MED BSAR;FR001400FL38;AFMBS;Euronext Paris;EUR;0,03;0,03;0,03;0,03;31/05/2023 12:34;CET;130;3,9;0,03;31/05/2023
AFFLUENT MEDICAL;FR0013333077;AFME;Euronext Paris;EUR;1,34;1,34;1,25;1,34;31/05/2023 17:35;CET;18009;23200,42;1,34;31/05/2023
AGEAS;BE0974264930;AGS;Euronext Brussels;EUR;38,37;38,65;37,33;37,33;31/05/2023 17:38;CET;986731;37584353,46;37,33;31/05/2023
AGFA-GEVAERT;BE0003755692;AGFB;Euronext Brussels;EUR;2,515;2,52;2,455;2,455;31/05/2023 17:39;CET;283306;697948,34;2,455;31/05/2023
AHOLD DEL;NL0011794037;AD;Euronext Amsterdam, Brussels;EUR;29,75;30,045;29,415;29,66;31/05/2023 17:37;CET;8269186;245397028,3;29,66;31/05/2023
AIR FRANCE -KLM;FR0000031122;AF;Euronext Paris, Amsterdam;EUR;1,641;1,6925;1,6235;1,662;31/05/2023 17:35;CET;12078068;20109254,17;1,662;31/05/2023
AIR LIQUIDE;FR0000120073;AI;Euronext Paris;EUR;159;159,54;155,74;156,64;31/05/2023 17:35;CET;2040527;320012975,2;156,64;31/05/2023
AIRBUS;NL0000235190;AIR;Euronext Paris;EUR;123,2;124,96;122,46;122,54;31/05/2023 17:36;CET;1592919;195727541,3;122,54;31/05/2023
AJAX;NL0000018034;AJAX;Euronext Amsterdam;EUR;11,25;11,55;11,1;11,5;31/05/2023 17:35;CET;3796;43270,8;11,5;31/05/2023
AKWEL;FR0000053027;AKW;Euronext Paris;EUR;14,3;14,34;14,06;14,06;31/05/2023 17:37;CET;33497;474859,92;14,06;31/05/2023
AKZO NOBEL;NL0013267909;AKZA;Euronext Amsterdam;EUR;70,9;71,2;70,26;70,44;31/05/2023 17:35;CET;1802140;127018177;70,44;31/05/2023
ALAN ALLMAN;FR0000062465;AAA;Euronext Paris;EUR;10,55;10,55;10,55;10,55;31/05/2023 09:00;CET;1;10,55;10,55;31/05/2023
ALD;FR0013258662;ALD;Euronext Paris;EUR;10,49;10,49;10,02;10,07;31/05/2023 17:35;CET;965979;9836214,36;10,07;31/05/2023
ALFEN;NL0012817175;ALFEN;Euronext Amsterdam;EUR;66,64;68,4;66,44;66,78;31/05/2023 17:35;CET;183582;12561505,42;66,78;31/05/2023
ALLFUNDS GROUP;GB00BNTJ3546;ALLFG;Euronext Amsterdam;EUR;6,28;6,48;6,23;6,38;31/05/2023 17:35;CET;3275789;20894906,82;6,38;31/05/2023
ALMUNDA PRO NV;NL0010696704;AMUND;Euronext Amsterdam;EUR;1,31;1,33;1,31;1,33;31/05/2023 12:53;CET;159740;209292,14;1,33;31/05/2023
ALPES (COMPAGNIE);FR0000053324;CDA;Euronext Paris;EUR;14,5;14,52;14,26;14,34;31/05/2023 17:35;CET;28205;405455,08;14,34;31/05/2023
ALSTOM;FR0010220475;ALO;Euronext Paris;EUR;26;26,07;25,53;25,74;31/05/2023 17:35;CET;2521886;64969855,22;25,74;31/05/2023
ALTAMIR;FR0000053837;LTA;Euronext Paris;EUR;27,4;27,4;27,3;27,3;31/05/2023 17:35;CET;136;3722,4;27,3;31/05/2023
ALTAREA;FR0000033219;ALTA;Euronext Paris;EUR;116;118;115,4;118;31/05/2023 17:35;CET;4827;566932;118;31/05/2023
ALTAREIT;FR0000039216;AREIT;Euronext Paris;EUR;575;575;575;575;31/05/2023 09:00;CET;1;575;575;31/05/2023
ALTEN;FR0000071946;ATE;Euronext Paris;EUR;149,8;152;148,5;149,6;31/05/2023 17:35;CET;95688;14357258,6;149,6;31/05/2023
ALTUR INVEST.;FR0010395681;ALTUR;Euronext Paris;EUR;8,65;8,65;8,65;8,65;31/05/2023 17:15;CET;51;441,15;8,65;31/05/2023
ALUMEXX N.V.;NL0012194724;ALX;Euronext Amsterdam;EUR;0,61;0,695;0,61;0,695;31/05/2023 17:35;CET;27797;18458,09;0,695;31/05/2023
AMG;NL0000888691;AMG;Euronext Amsterdam;EUR;42;42,46;41,14;42,14;31/05/2023 17:36;CET;357155;15011580,69;42,14;31/05/2023
AMPLITUDE SURGICAL;FR0012789667;AMPLI;Euronext Paris;EUR;3,36;3,36;3,3;3,3;31/05/2023 17:35;CET;2149;7091,76;3,3;31/05/2023
AMUNDI;FR0004125920;AMUN;Euronext Paris;EUR;55;55,1;52,05;52,6;31/05/2023 17:35;CET;406940;21527967,55;52,6;31/05/2023
ANTIN INFRA PARTN;FR0014005AL0;ANTIN;Euronext Paris;EUR;14,45;14,71;14,34;14,71;31/05/2023 17:35;CET;54054;791104,55;14,71;31/05/2023
APERAM;LU0569974404;APAM;Euronext Amsterdam, Brussels, Paris;EUR;31,54;31,56;30,57;30,62;31/05/2023 17:36;CET;375140;11627927,41;30,62;31/05/2023
APTORUM GROUP CL A;KYG6096M1226;APM;Euronext Paris;EUR;27;27;27;27;11/05/2023 09:54;CET;3;81;3,205;31/05/2023
ARAMIS GROUP;FR0014003U94;ARAMI;Euronext Paris;EUR;5,2;5,44;5,12;5,36;31/05/2023 17:36;CET;107790;574005,16;5,36;31/05/2023
